IDGioco,Barcode,Titolo,NumeroGiocatori,Durata,Categoria,CopieTotali,CopieDisponibili,StatoDisponibilita,Posizione,Note,Eta,Editore,BGGBGG
1,1,10 days Europe,2-4,20-30,,1,0,In prestito,,,10,,
2,2,7 Wonders,3-7,30,,1,1,Disponibile,,,10,,
3,3,Akropolis,1-4,20-30,,1,1,Disponibile,,,8,,
4,4,Amalfi,1-4,120-180,,1,1,Disponibile,,,12,,
5,5,Avalon,5-10,30,,1,1,Disponibile,,,13,,
6,6,Azul Duel,2,30-45,,1,1,Disponibile,,,10,,
7,7,Capitan flip,2-4,20,,1,1,Disponibile,,,8,,
8,8,Chai,1-5,20-60,,1,1,Disponibile,,,8,,
9,9,Challengers!,2-8,45,,1,1,Disponibile,,,8,,
10,10,Citadels,2-8,20-60,,1,1,Disponibile,,,10,,
11,11,Colt express,2-6,40,,1,1,Disponibile,,,10,,
12,12,Deep sea adventure,2-6,30,,1,1,Disponibile,,,8,,
13,13,Diabolik,2-4,60-90,,1,1,Disponibile,,,13,,
14,14,El grande,2-5,60-120,,1,1,Disponibile,,,12,,
15,15,Everdell,1-4,40-80,,1,1,Disponibile,,,10,,
16,16,Heat,1-6,30-60,,1,1,Disponibile,,,10,,
17,17,Il verme è tratto,2-7,20,,1,1,Disponibile,,,8,,
18,18,In alto i calici,2-12,20-45,,1,1,Disponibile,,,8,,
19,19,Intarsia,2-4,40-60,,1,1,Disponibile,,,10,,
20,20,Jamaica,2-6,30-60,,1,1,Disponibile,,,8,,
21,21,Just One,3-7,20-60,,1,1,Disponibile,,,8,,
22,22,Kites,2-6,10,,1,1,Disponibile,,,10,,
23,23,Living Forest,1-4,40,,1,1,Disponibile,,,10,,
24,24,Llama,2-6,20,,1,1,Disponibile,,,8,,
25,25,Look and find (Dobble),2-8,15,,1,1,Disponibile,,,6,,
26,26,Looot,2-4,35,,1,1,Disponibile,,,10,,
27,27,Mississipi Queen,2-6,45,,1,1,Disponibile,,,10,,
28,28,Moonriver,2-4,45,,1,1,Disponibile,,,8,,
29,29,Not Alone,2-7,30-45,,1,1,Disponibile,,,10,,
30,30,Patchwork,2,15-30,,1,1,Disponibile,,,8,,
31,31,Perudo,2-6,15-30,,1,1,Disponibile,,,8,,
32,32,Pozioni esplosive,2-4,30-45,,1,1,Disponibile,,,8,,
33,33,Project L,1-4,20-40,,1,1,Disponibile,,,8,,
34,34,Scout,2-5,20,,1,1,Disponibile,,,9,,
35,35,Squeaky,2-5,15,,1,1,Disponibile,,,8,,
36,36,Startups,3-7,20,,1,1,Disponibile,,,10,,
37,37,Stone Age,2-4,60-90,,1,1,Disponibile,,,10,,
38,38,Strade di Inchiostro,1-6,20-30,,1,1,Disponibile,,,8,,
39,39,Taco Gatto Capra,2-8,10-30,,1,1,Disponibile,,,8,,
40,40,Takenoko,2-4,45,,1,1,Disponibile,,,8,,
41,41,Telesketch,4-8,30,,1,1,Disponibile,,,12,,
42,42,Terra mystica,2-5,60-150,,1,1,Disponibile,,,12,,
43,43,Ticket to ride: Europe,2-5,30-60,,1,1,Disponibile,,,8,,
44,44,Tokyo Train,4-8,15,,1,1,Disponibile,,,8,,
45,45,Tsuro,2-8,15-20,,1,1,Disponibile,,,8,,
46,46,Wavelenght,2-12,30-45,,1,1,Disponibile,,,14,,
47,47,Foxy,1-5,15,,1,1,Disponibile,,,8,,
48,48,For Sale,3-6,30,,1,1,Disponibile,,,10,,
49,49,Fromage,1-4,40,,1,1,Disponibile,,,14,,
50,50,Castle Combo,2-5,25,,1,1,Disponibile,,,10,,
51,51,Duck & Cover,2-7,20,,1,1,Disponibile,,,8,,
52,52,Harmonies,1-4,30,,1,1,Disponibile,,,10,,
53,53,Noè,2-5,30,,1,1,Disponibile,,,7,,
54,54,Splendor Marvel,2-4,45-60,,1,1,Disponibile,,,10,,
55,55,Trio,3-6,10,,1,1,Disponibile,,,8,,
56,56,Botanicus,2-4,45-60,,1,1,Disponibile,,,10,,
57,57,Jaipur,2,30,,1,1,Disponibile,,,10,,
58,58,Nanga Parbat,2,30,,1,1,Disponibile,,,10,,
59,59,Quickstop,2-7,15,,1,1,Disponibile,,,10,,
60,60,Acchiappa mostri,1-4,20,,1,1,Disponibile,,,4,,
61,61,Intrighi a corte,2-5,20,,1,1,Disponibile,,,8,,
62,62,Dragomino,2-4,15,,1,1,Disponibile,,,5,,
63,63,Mangia Preda Chiama,2-5,15,,1,1,Disponibile,,,8,,
64,64,Altay,2-4,60,,1,1,Disponibile,,,12,,
65,65,Jurassic Brunch,2,15,,1,1,Disponibile,,,8,,
66,66,Hens,2-4,30,,1,1,Disponibile,,,8,,
67,67,Terraforming Mars,1-5,90-120,,1,1,Disponibile,,,12,,
68,68,Granbosco,2-4,30,,1,1,Disponibile,,,8,,
69,69,Santorini,2-4,30,,1,1,Disponibile,,,12,,
70,70,Slendor Kids,2-4,25,,1,1,Disponibile,,,6,,
71,71,Nimalia,2-4,30,,1,1,Disponibile,,,10,,
72,72,SAGRADA,1-4,45,,1,1,Disponibile,,,10,,
73,73,JURASSIC SNACK,2,15,,1,1,Disponibile,,,7,,
74,74,Intrighi a corte,2-5,20,,1,1,Disponibile,,,8,,
